words	0	mux	area	width	height	tcycle	ReadPowTyp	WritePowTyp	leakage
98304	8	48	1114911.3472	709.52	1571.36	5.497	12.57	14.813	6283.6488
196608	8	48	2180087.616	710.08	3070.2	12.857	17.228	20.738	11923.1497
12288	16	48	331975.5488	1276.24	260.12	3.22	14.421	16.562	1909.3173
24576	16	48	571291.392	1276.8	447.44	3.491	14.97	17.307	2726.7636
49152	16	48	1050092.1088	1277.36	822.08	4.0	16.064	18.752	4356.3135
98304	16	48	2008072.3712	1277.92	1571.36	5.564	18.154	21.581	7615.3924
196608	16	48	3925189.296	1278.48	3070.2	12.93	23.154	27.971	14133.548
12288	32	48	627607.1312	2412.76	260.12	3.481	25.968	31.008	3030.071
24576	32	48	1079815.9008	2413.32	447.44	3.752	26.752	32.003	4069.8317
49152	32	48	1984402.4704	2413.88	822.08	4.262	28.195	33.993	6138.6875
98304	32	48	3793954.4384	2414.44	1571.36	5.717	30.814	37.555	10276.4178
196608	32	48	7414533.0	2415.0	3070.2	13.091	36.475	45.064	18551.7761
12288	42	48	812385.9744	3123.12	260.12	3.69	33.81	41.782	3729.9724
24576	42	48	1397659.3792	3123.68	447.44	3.964	34.723	42.933	4908.6972
49152	42	48	2568375.2192	3124.24	822.08	4.473	36.412	45.269	7252.1141
98304	42	48	4910185.728	3124.8	1571.36	5.821	39.35	49.359	11938.9831
196608	42	48	9595480.272	3125.36	3070.2	13.198	45.407	57.448	21312.6386
16384	8	64	243409.8912	935.76	260.12	3.172	9.947	11.228	1667.5131
32768	8	64	418947.0208	936.32	447.44	3.446	10.43	11.827	2531.6093
65536	8	64	770190.3104	936.88	822.08	3.949	11.322	13.037	4256.0782
131072	8	64	1473055.7184	937.44	1571.36	5.521	13.151	15.455	7705.0325
262144	8	64	2879847.6	938.0	3070.2	12.885	17.819	21.383	14602.8795
16384	16	64	440497.6128	1693.44	260.12	3.31	15.445	17.953	2400.3276
32768	16	64	757963.36	1694.0	447.44	3.584	15.993	18.678	3412.7302
65536	16	64	1393063.8848	1694.56	822.08	4.092	17.085	20.133	5430.0895
131072	16	64	2663643.7632	1695.12	1571.36	5.612	19.182	22.949	9464.7685
262144	16	64	5206076.736	1695.68	3070.2	12.982	24.17	29.395	17534.1661
16384	32	64	834745.8896	3209.08	260.12	3.727	27.623	34.728	3863.7038
32768	32	64	1436121.3216	3209.64	447.44	4.001	28.394	35.749	5172.7346
65536	32	64	2639041.216	3210.2	822.08	4.508	29.843	37.711	7775.8428
131072	32	64	5045259.8336	3210.76	1571.36	5.833	32.453	41.269	12982.0482
262144	32	64	9859394.664	3211.32	3070.2	13.193	38.118	48.783	23394.4227
24576	8	96	361982.992	1391.6	260.12	3.268	10.918	12.557	2310.0055
49152	8	96	622908.0704	1392.16	447.44	3.54	11.378	13.132	3489.7544
98304	8	96	1144927.2576	1392.72	822.08	4.05	12.297	14.354	5843.4024
196608	8	96	2189344.4608	1393.28	1571.36	5.573	14.114	16.776	10550.6852
393216	8	96	4279367.568	1393.84	3070.2	12.943	18.783	22.671	19965.2233
24576	16	96	657687.408	2528.4	260.12	3.553	16.896	20.755	3385.4348
49152	16	96	1131557.8624	2528.96	447.44	3.826	17.457	21.474	4787.7797
98304	16	96	2079467.8016	2529.52	822.08	4.335	18.552	22.929	7580.7556
196608	16	96	3975666.5088	2530.08	1571.36	5.709	20.636	25.743	13166.6436
393216	16	96	7769570.928	2530.64	3070.2	13.087	25.641	32.229	24338.4856
24576	21	96	842466.2512	3238.76	260.12	3.773	20.834	26.715	4057.0145
49152	21	96	1449401.3408	3239.32	447.44	4.045	21.465	27.52	5598.4874
98304	21	96	2663440.5504	3239.88	822.08	4.556	22.671	29.121	8666.0266
196608	21	96	5091897.7984	3240.44	1571.36	5.879	24.917	32.189	14801.0918
393216	21	96	9950518.2	3241.0	3070.2	13.182	30.138	38.989	27071.1386
32768	8	128	480556.0928	1847.44	260.12	3.396	11.678	13.873	2949.5653
65536	8	128	826869.12	1848.0	447.44	3.67	12.123	14.483	4444.9702
131072	8	128	1519664.2048	1848.56	822.08	4.178	13.038	15.669	7427.8028
262144	8	128	2905633.2032	1849.12	1571.36	5.626	14.883	18.102	13393.402
524288	8	128	5678887.536	1849.68	3070.2	13.0	19.536	24.015	25324.6257
32768	16	128	874804.3696	3363.08	260.12	3.857	18.039	23.526	4367.5643
65536	16	128	1505027.0816	3363.64	447.44	4.132	18.604	24.242	6159.8669
131072	16	128	2765641.536	3364.2	822.08	4.64	19.7	25.713	9728.433
262144	16	128	5287249.2736	3364.76	1571.36	5.964	21.784	28.525	16865.5509
524288	16	128	10332205.464	3365.32	3070.2	13.196	26.797	34.975	31139.8461
49152	8	192	717775.128	2759.4	260.12	3.743	12.981	16.524	4231.5724
98304	8	192	1234916.5024	2759.96	447.44	4.017	13.449	17.099	6358.2959
196608	8	192	2269368.2816	2760.52	822.08	4.531	14.356	18.321	10599.4328
393216	8	192	4338650.6688	2761.08	1571.36	5.849	16.207	20.738	19081.7715
786432	8	192	8478787.128	2761.64	3070.2	13.12	20.876	26.678	36046.3158
49152	10	192	865554.5024	3327.52	260.12	3.943	14.719	19.351	4757.5264
98304	10	192	1489116.1152	3328.08	447.44	4.218	15.212	19.964	6995.6161
196608	10	192	2736408.3712	3328.64	822.08	4.727	16.172	21.23	11456.4637
393216	10	192	5231371.712	3329.2	1571.36	6.049	18.079	23.746	20378.0962
786432	10	192	10223029.152	3329.76	3070.2	13.191	22.825	29.825	38221.3557
65536	8	256	954921.3296	3671.08	260.12	4.183	14.278	19.144	5513.5806
131072	8	256	1642838.6016	3671.64	447.44	4.456	14.723	19.722	8271.615
262144	8	256	3018842.176	3672.2	822.08	4.967	15.644	20.935	13771.1519
524288	8	256	5771228.1536	3672.76	1571.36	6.293	17.508	23.368	24770.1377
1048576	8	256	11277827.064	3673.32	3070.2	13.245	22.191	29.316	46768.1643
